STATUS | wrapper  | 2019/09/19 14:00:35 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/09/19 14:00:36 | Launching a JVM...
INFO   | jvm 1    | 2019/09/19 14:00:36 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/09/19 14:00:36 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/09/19 14:00:36 | 
INFO   | jvm 1    | 2019/09/19 14:00:36 | Java Runtime: Oracle Corporation 1.8.0_144 C:\Program Files\Java\jre1.8.0_144
INFO   | jvm 1    | 2019/09/19 14:00:36 |   Heap sizes: current=123904k  free=113404k  max=932352k
INFO   | jvm 1    | 2019/09/19 14:00:36 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=InnPvRV1joefI5y8 -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=7580 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2019/09/19 14:00:36 | Extensions classpath:
INFO   | jvm 1    | 2019/09/19 14:00:36 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2019/09/19 14:00:36 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2019/09/19 14:00:36 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2019/09/19 14:00:36 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2019/09/19 14:00:36 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2019/09/19 14:00:47 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Connector ws started
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Apache ActiveMQ 5.15.9 (localhost, ID:Mr-Liu-58577-1568872849133-0:1) started
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2019/09/19 14:00:50 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2019/09/19 14:00:50 |  INFO | ActiveMQ WebConsole available at http://0.0.0.0:8161/
INFO   | jvm 1    | 2019/09/19 14:00:50 |  INFO | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/
INFO   | jvm 1    | 2019/09/19 14:00:50 |  INFO | Initializing Spring FrameworkServlet 'dispatcher'
INFO   | jvm 1    | 2019/09/19 14:00:50 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2019/09/19 14:00:50 |  INFO | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml
INFO   | jvm 1    | 2019/09/19 14:02:00 |  INFO | Connector vm://localhost started
INFO   | jvm 1    | 2019/09/19 14:11:41 |  WARN | Transport Connection to: tcp://127.0.0.1:58714 failed: java.net.SocketException: Connection reset
INFO   | jvm 1    | 2019/09/19 14:11:41 |  WARN | Transport Connection to: tcp://127.0.0.1:58713 failed: java.net.SocketException: Connection reset
INFO   | jvm 1    | 2019/09/19 14:13:05 |  WARN | Transport Connection to: tcp://127.0.0.1:58938 failed: java.net.SocketException: Connection reset
INFO   | jvm 1    | 2019/09/19 14:13:05 |  WARN | Transport Connection to: tcp://127.0.0.1:58939 failed: java.net.SocketException: Connection reset
INFO   | jvm 1    | 2019/09/19 14:17:50 |  WARN | Transport Connection to: tcp://127.0.0.1:58999 failed: java.net.SocketException: Connection reset
INFO   | jvm 1    | 2019/09/19 14:17:50 |  WARN | Transport Connection to: tcp://127.0.0.1:58998 failed: java.net.SocketException: Connection reset
